,NOISE_FREE_GENE_INDICES,CLUSTER_NO,Distance_FROM_CLUSTER_CENTROID
0,0,0,6.525238868849774
1,1,0,6.710341706533079
2,2,0,6.556358505885015
3,3,0,6.448753762359122
4,4,0,6.433375595809622
5,5,0,6.532133550634209
6,6,0,6.169410577567724
7,7,0,6.1927438998777165
8,8,0,6.8178283804766755
9,9,0,6.21177813423676
10,10,0,6.473745003250099
11,11,0,6.222944709484392
12,12,0,6.190746091477354
13,13,0,6.306176971201652
14,14,0,6.141914081640677
15,15,0,6.59036672040122
16,16,0,6.273291982016373
17,17,0,6.522881763272941
18,18,0,7.075428030976548
19,19,0,6.5053136368461555
20,20,0,6.705652740161651
21,21,0,6.3382737462153775
22,22,0,6.206659125222462
23,23,0,5.792461733427925
24,24,0,6.27847755961
25,25,0,5.821415293702843
26,26,0,6.394404539974084
27,27,0,6.618429131731169
28,28,0,6.97650389187934
29,29,0,6.2297842698056884
30,30,0,6.617152140032908
31,31,0,6.452341056137727
32,32,0,6.362808463555775
33,33,0,5.761072938205486
34,34,0,6.630827483842519
35,35,0,6.706673834337166
36,36,0,6.876788162378516
37,37,0,5.975284677935659
38,38,0,6.235092487835609
39,39,0,6.206537588951804
40,40,0,6.265642602272607
41,41,0,6.391475479799712
42,42,0,6.840033481858173
43,43,0,6.397024348846003
44,44,0,6.382205742554563
45,45,0,6.060552764830697
46,46,0,6.6276701580674935
47,47,0,6.199665200855174
48,48,0,6.403898159731623
49,49,0,6.613388389861134
50,50,0,6.441416712065524
51,51,0,6.1802152180297005
52,52,0,6.206592994862178
53,53,0,6.2249356108879175
54,54,0,6.142937903628283
55,55,0,6.189248702327549
56,56,0,5.9281941756361825
57,57,0,6.420778023411092
58,58,0,6.663362830341543
59,59,0,6.789785340761789
60,60,0,6.1078653872292765
61,61,0,6.179987166742916
62,62,0,6.724879873375665
63,63,0,6.450661326891061
64,64,0,6.116663559762268
65,65,0,6.20940846903103
66,66,0,6.25980658221084
67,67,0,6.56580074873621
68,68,0,5.9670522357363165
69,69,0,6.282210267232057
70,70,0,6.145114181933428
71,71,0,4.091537877599495
72,72,0,4.314282955061696
73,73,0,6.460011542439708
74,74,0,5.985231272734388
75,75,0,6.489251707969748
76,76,0,5.9531126293930745
77,77,0,6.50249142795875
78,78,0,6.159449383471158
79,79,0,5.517273386397621
80,80,0,6.97575675948354
81,81,0,6.406460857175809
82,82,0,6.586021328302472
83,83,0,6.104039580158174
84,84,0,5.992316100454526
85,85,0,6.259818541653322
86,86,0,5.986975358918766
87,87,0,6.139006444365314
88,88,0,6.655403617805227
89,89,0,6.19039778370829
90,90,0,6.116176195160315
91,91,0,4.2835409125536525
92,92,0,4.844677926508779
93,93,0,6.552332180795139
94,94,0,6.042768472283984
95,95,0,6.273679117192519
96,96,0,6.534655467331837
97,97,0,6.065860650980373
98,98,0,6.300290715663468
99,99,0,6.58727725442413
100,100,0,6.161799538870418
101,101,0,6.294226836860858
102,102,0,6.277287002390774
103,103,0,6.335885682853917
104,104,0,6.109941452528026
105,105,0,6.391052631769923
106,106,0,5.992387124958521
107,107,0,3.875591396345248
108,108,0,4.183289155730898
109,109,0,6.425383773943897
110,110,0,6.344576183364414
111,111,0,6.268510799915386
112,112,0,6.314857292093888
113,113,0,5.041292969245013
114,114,0,4.899765326305472
115,115,0,4.554875011399059
116,116,0,4.12008745159275
117,117,0,4.42137460732122
118,118,0,4.169222848275272
119,119,0,6.571458971268574
120,120,0,6.119067498759273
121,121,0,6.314744109792832
122,122,0,6.789386666950589
123,123,0,6.039584631769396
124,124,0,6.501928464929426
125,125,0,6.429478912573437
126,126,0,6.6284950920762755
127,127,0,6.433197058483759
128,128,0,6.081204369502326
129,129,0,6.473388348485899
130,130,0,6.272485516591596
131,131,0,6.507047430564212
132,132,0,5.847158803020578
133,133,0,6.108661012622872
134,134,0,6.004639291995144
135,135,0,6.077224561344928
136,136,0,6.141378923268731
137,137,0,6.137632980678992
138,138,0,6.142916054716882
139,139,0,6.75435064115716
140,140,0,5.880243712307218
141,141,0,6.207421365203955
142,142,0,6.051820580824316
143,143,0,5.889078070651993
144,144,0,6.317597771326132
145,145,0,6.250893026522975
146,146,0,6.2057100349302585
147,147,0,6.318526147168218
148,148,0,6.541797681757041
149,149,0,6.088812641602552
150,150,0,6.3142893134783415
151,151,0,5.823468154086048
152,152,0,6.4118491458029405
153,153,0,6.034574686055784
154,154,0,6.404963673032651
155,155,0,6.517876953818379
156,156,0,6.348778886281646
157,157,0,4.284956606406382
158,158,0,4.011744502537025
159,159,0,6.543147420190484
160,160,0,6.403128028329182
161,161,0,4.211723970600893
162,162,0,4.349961620449403
163,163,0,6.163890576488717
164,164,0,6.266760958255182
165,165,0,6.551739121189758
166,166,0,6.918564410688759
167,167,0,5.821163300348597
168,168,0,6.041146144230906
169,169,0,4.3165934695214725
170,170,0,4.041862394875201
