,0
0,SCP160
1,TSL1
2,SEC7
3,RPB2
4,BEM2
5,HAP1
6,GCN1
7,ERG1
8,HXK2
9,GDA1
10,PIN4
11,PGM1
12,ALT1
13,SEC18
14,FOL1
15,VAC8
16,EMC1
17,TEC1
18,ERG4
19,TUP1
20,LAC1
21,DED1
22,GLR1
23,BAP2
24,ARG1
25,CLN3
26,ELP2
27,SNF1
28,DPL1
29,FAA1
30,TDA3
31,GRS1
32,MSS51
33,MKT1
34,DUG1
35,TED1
36,CLB6
37,TMS1
38,HAP4
39,RVS167
40,WTM1
41,CRP1
42,YPR114W
43,ERG26
44,SUR2
45,DBP9
46,ERG9
47,ATP2
48,PRC1
49,CST26
50,GAA1
51,INM1
52,LNP1
53,TIF6
54,YMR090W
55,NCE103
56,LRP1
57,SDH4
58,APT1
59,PAM16
60,ZEO1
61,POP8
62,HMF1
63,MTC7
64,ZDS1
65,GLN4
66,SLA1
67,PSD1
68,ILS1
69,YRF1-2
70,YFL066C
71,YCL020W
72,RPL4B
73,IMD3
74,RPS26B
75,RPS22B
76,YCL065W
77,ENA5
78,UBP2
79,CRM1
80,TPS2
81,SPN1
82,HSP104
83,GNT1
84,SEC63
85,ATP3
86,TAT2
87,ZAP1
88,CCT2
89,ADH2
90,COR1
91,TIF3
92,DPH5
93,GLC3
94,MSS116
95,PHO87
96,PPQ1
97,SFK1
98,OST6
99,SIS2
100,FRS1
101,ECT1
102,SHP1
103,TYW1
104,LYS4
105,ADH6
106,RNA15
107,LAT1
108,YLR257W
109,GPD2
110,PGA3
111,SVS1
112,MDE1
113,MRPL24
114,YPT31
115,GDT1
116,NYV1
117,SFT2
118,PRE3
119,RPA34
120,ATP7
121,RPS13
122,SRP21
123,QRI5
124,CYB5
125,NSR1
126,RPS1B
127,RPL8A
128,RPL4A
129,YJL225C
130,YBL100W-A
131,RPL36B
132,NBA1
133,AAP1
134,MES1
135,RPT5
136,GET3
137,HXT3
138,ABP1
139,LSP1
140,SSE1
141,ALE1
142,PMT2
143,ADH3
144,CYS3
145,CCT5
146,ERG20
147,SOK1
148,LSC1
149,YHM2
150,PWP2
151,SNF4
152,TRM1
153,DAK1
154,PUP1
155,UMP1
156,CTR2
157,TMA20
158,SNU13
159,FPR1
160,ICY1
161,NTF2
162,COX13
163,TIF5
164,YDR170W-A
165,RPL31B
166,RPL35B
167,IKI3
168,STT3
169,SEC23
170,BNA5
171,MDH1
172,CIT2
173,DCS1
174,RAD23
175,FLC3
176,SEC28
177,MRH1
178,VMA5
179,PET9
180,SEC61
181,GLK1
182,MDL2
183,URA7
184,ILV3
185,DED81
186,TPS3
187,DBP3
188,PGM2
189,GBP2
190,RSC8
191,CCT3
192,GCV2
193,LEM3
194,UFD1
195,CHC1
196,AKR1
197,DBP5
198,VNX1
199,HEK2
200,RSN1
201,IDP1
202,ERG25
203,ALG9
204,UTP8
205,COX15
206,ATX2
207,PYK2
208,APD1
209,GET4
210,GPP1
211,YRB1
212,RPS5
213,RPL16A
214,PUP3
215,CDC33
216,COX4
217,YPL225W
218,MIC19
219,UBC9
220,ATP16
221,NHP2
222,ERV14
223,RPL12A
224,VMA7
225,TOS6
226,ACP1
227,RPS26A
228,RPL1A
229,RPL8B
230,YKL030W
231,RPL9B
232,NUP116
233,SLH1
234,JSN1
235,ALY1
236,RPL3
237,SHM1
238,FCP1
239,WRS1
240,YPL014W
241,KAP104
242,MAK21
243,ZRT1
244,BUG1
245,TPC1
246,PMI40
247,ETP1
248,YRB30
249,YHP1
250,GDS1
251,TDA1
252,NPR1
253,TKL1
254,CDC4
255,HIP1
256,ADE13
257,JIP5
258,GCD1
259,MAM3
260,RRP8
261,CRN1
262,HIS5
263,PPN1
264,RPN3
265,GPI10
266,DIP5
267,COS8
268,PRO2
269,DMA1
270,HOC1
271,KTR6
272,NUP2
273,SLY1
274,FAT1
275,KES1
276,SAC1
277,IST2
278,ERG6
279,UTP14
280,GUA1
281,CCT6
282,HRP1
283,DSE1
284,PTR2
285,PER33
286,PHB2
287,PET10
288,IZH1
289,PET123
290,YIP5
291,GTT1
292,SOD2
293,HCR1
294,HRI1
295,HAP2
296,EFB1
297,ARC18
298,PST2
299,OPI3
300,VMA11
301,CBP6
302,MF(ALPHA)2
303,RPL21B
304,YAR075W
305,SEC31
306,HER1
