,ID_REF,IDENTIFIER
0,Q0045,COX1
1,Q0050,AI1
2,Q0055,AI2
3,Q0060,AI3
4,Q0065,AI4
5,Q0070,AI5_ALPHA
6,Q0075,AI5_BETA
7,Q0080,ATP8
8,Q0085,ATP6
9,Q0105,COB
10,Q0110,BI2
11,Q0115,BI3
12,Q0120,BI4
13,Q0130,OLI1
14,Q0140,VAR1
15,Q0160,SCEI
16,Q0250,COX2
17,Q0255,Q0255
18,Q0275,COX3
19,YAL001C,TFC3
20,YAL002W,VPS8
21,YAL003W,EFB1
22,YAL005C,SSA1
23,YAL007C,ERP2
24,YAL008W,FUN14
25,YAL009W,SPO7
26,YAL010C,MDM10
27,YAL011W,SWC3
28,YAL012W,CYS3
29,YAL013W,DEP1
30,YAL014C,SYN8
31,YAL015C,NTG1
32,YAL016W,TPD3
33,YAL017W,PSK1
34,YAL018C,LDS1
35,YAL019W,FUN30
36,YAL020C,ATS1
37,YAL021C,CCR4
38,YAL022C,FUN26
39,YAL023C,PMT2
40,YAL024C,LTE1
41,YAL025C,MAK16
42,YAL026C,DRS2
43,YAL027W,SAW1
44,YAL028W,FRT2
45,YAL029C,MYO4
46,YAL030W,SNC1
47,YAL031C,GIP4
48,YAL032C,PRP45
49,YAL033W,POP5
50,YAL034C,FUN19
51,YAL034W-A,MTW1
52,YAL035W,FUN12
53,YAL036C,RBG1
54,YAL037W,YAL037W
55,YAL038W,CDC19
56,YAL039C,CYC3
57,YAL040C,CLN3
58,YAL041W,CDC24
59,YAL042W,ERV46
60,YAL043C,PTA1
61,YAL044C,GCV3
62,YAL044W-A,YAL044W-A
63,YAL046C,AIM1
64,YAL047C,SPC72
65,YAL048C,GEM1
66,YAL049C,AIM2
67,YAL051W,OAF1
68,YAL053W,FLC2
69,YAL054C,ACS1
70,YAL055W,PEX22
71,YAL056W,GPB2
72,YAL058W,CNE1
73,YAL059W,ECM1
74,YAL060W,BDH1
75,YAL061W,BDH2
76,YAL062W,GDH3
77,YAL063C,FLO9
78,YAL064C-A,TDA8
79,YAL064W,YAL064W
80,YAL064W-B,YAL064W-B
81,YAL067C,SEO1
82,YAL068C,PAU8
83,YAR002C-A,ERP1
84,YAR002W,NUP60
85,YAR003W,SWD1
86,YAR007C,RFA1
87,YAR008W,SEN34
88,YAR014C,BUD14
89,YAR015W,ADE1
90,YAR018C,KIN3
91,YAR019C,CDC15
92,YAR020C,PAU7
