,NOISE_FREE_GENE_INDICES,CLUSTER_NO,Distance_FROM_CLUSTER_CENTROID
0,0,2,0.08563711390842914
1,1,2,0.0213197957101625
2,2,0,0.12618828511724964
3,3,2,0.022930382856649882
4,4,2,0.04598599969907138
5,5,2,0.08104107439218386
6,6,2,0.05988234246925974
7,7,4,0.1842819853003291
8,8,2,0.054594662987726056
9,9,0,0.10201626878924847
10,10,2,0.24830240264361955
11,11,2,0.2009872973633337
12,12,0,0.1403741818367087
13,13,2,0.10468957864766372
14,14,2,0.13877250512985462
15,15,2,0.04033927117635242
16,16,2,0.027975809666899866
17,17,2,0.03948509053888769
18,18,0,0.0806547867607087
19,19,0,0.12444517862275557
20,20,2,0.021969369121848135
21,21,2,0.06715549857736466
22,22,0,0.13832375419849308
23,23,2,0.03483578774286359
24,24,2,0.01776764745439902
25,25,2,0.027811025423044682
26,26,0,0.07364775299516187
27,27,2,0.024980187753860524
28,28,0,0.2114057785714093
29,29,0,0.05493652747619756
30,30,2,0.04092340367105958
31,31,0,0.06219489817296453
32,32,2,0.06603995708376373
33,33,0,0.08833784085079571
34,34,0,0.03920083502559762
35,35,0,0.0989396777915547
36,36,2,0.028934302857766533
37,37,2,0.009607139494880275
38,38,0,0.07512035277414288
39,39,2,0.04669201272711124
40,40,2,0.010401611933150092
41,41,2,0.044563595976947666
42,42,2,0.033663332132496795
43,43,2,0.04927049031081111
44,44,2,0.06426489637399271
45,45,2,0.09360196244274137
46,46,2,0.018977575722664983
47,47,4,0.41606391456190067
48,48,0,0.05114773412426756
49,49,2,0.2691721892869912
50,50,0,0.06333099693747483
51,51,2,0.024251836583058968
52,52,2,0.03967109105648826
53,53,2,0.053815666692015145
54,54,2,0.08757771888914434
55,55,2,0.24593016953109345
56,56,2,0.02983028828018356
57,57,2,0.04641571583543416
58,58,2,0.05703017933691555
59,59,2,0.03977133860459219
60,60,2,0.08116956935617563
61,61,2,0.012990570904887484
62,62,2,0.06440082567342327
63,63,2,0.08683033853219785
64,64,0,0.1428713773555782
65,65,2,0.01832560380654794
66,66,2,0.11932055480710108
67,67,2,0.054296088155633644
68,68,2,0.02137321397028919
69,69,2,0.05739313794815344
70,70,0,0.08536840926329783
71,71,0,0.0735262502575367
72,72,2,0.10490104252592895
73,73,2,0.02035221973036264
74,74,2,0.02288592335558808
75,75,2,0.013298035549246077
76,76,0,0.08132489155429672
77,77,2,0.04111318214255883
78,78,0,0.12078698231614782
79,79,0,0.1906277923409365
80,80,0,0.0788028926274756
81,81,2,0.07230267220033569
82,82,2,0.060984287138334176
83,83,2,0.05084456175662096
84,84,0,0.08895977537209863
85,85,2,0.10774902544747715
86,86,0,0.0797936349095672
87,87,2,0.07515363443502303
88,88,0,0.11391714425045853
89,89,2,0.024101665780218443
90,90,2,0.08930312626061158
91,91,0,0.1035811980760761
92,92,2,0.045452901689322145
93,93,2,0.07813593120666087
94,94,0,0.16331609662083046
95,95,0,0.1107145004202475
96,96,2,0.09962030638801081
97,97,0,0.15016351812302087
98,98,2,0.06587681762466734
99,99,0,0.12620239974488287
100,100,2,0.09707881041788946
101,101,4,0.5243805879345531
102,102,2,0.0683066917086697
103,103,4,0.3643538974890435
104,104,0,0.09969897150080283
105,105,2,0.023503857738911834
106,106,2,0.03550668337675208
107,107,0,0.13721771492235976
108,108,0,0.09629245908744695
109,109,0,0.2181426121808936
110,110,0,0.07216557222706275
111,111,4,0.2928794322862223
112,112,2,0.05981676129357462
113,113,0,0.17329504371074061
114,114,2,0.08771096084937323
115,115,0,0.13358503146087322
116,116,0,0.07461427591396497
117,117,2,0.055535050753689745
118,118,2,0.0501078580975612
119,119,2,0.05344631621832192
120,120,0,0.08354864114129057
121,121,4,0.3299867053967722
122,122,2,0.09541200189687779
123,123,2,0.026921275730610462
124,124,2,0.02835955484124305
125,125,2,0.14365517288334456
126,126,2,0.02197625997971738
127,127,2,0.01584799032552301
128,128,2,0.014587082217291727
129,129,2,0.32778999381696067
130,130,2,0.05466748373326923
131,131,4,0.2740436581127238
132,132,2,0.014420002460867215
133,133,2,0.01191285386582446
134,134,2,0.0772399295041232
135,135,0,0.1090447613570641
136,136,4,0.20206510279112133
137,137,2,0.07296131859188718
138,138,2,0.04699200216020266
139,139,2,0.059355818241267067
140,140,0,0.2436360787168847
141,141,2,0.0894732425386132
142,142,0,0.07970831757960734
143,143,2,0.04008843506332994
144,144,2,0.047077137991566154
145,145,2,0.01864374424079417
146,146,2,0.06961960602903011
147,147,2,0.043458009184455935
148,148,4,0.4290656765872433
149,149,0,0.18814546532004292
150,150,0,0.18676034705740918
151,151,2,0.04364000253452705
152,152,2,0.14525624343015722
153,153,2,0.018783275634322336
154,154,2,0.0389580646303898
155,155,1,0.7480815315598156
156,156,2,0.19607373752408858
157,157,0,0.08203489873807085
158,158,4,0.1874148305732691
159,159,2,0.04330453272575776
